Word,Importance
painful,0.04690137842502822
cardinal,0.046771715692834975
tea,0.04668979687897297
laughter,0.04652759288895191
##worthy,0.04649291315847232
eroded,0.04611671266770048
gut,0.04589068683248782
ringing,0.04582145472571857
##ules,0.04567622089116428
somber,0.045630188082548796
partisans,0.045618429738857956
strewn,0.045413216093706056
##rri,0.04535133650698088
obscure,0.04531799585195848
echoing,0.04510730374497737
recalls,0.0449525019472763
exiting,0.04491061921125263
amateur,0.0448516469843149
cousins,0.04459876354914042
shocked,0.04446486018989238
establishes,0.044399098189069654
##yon,0.04439273493148679
pont,0.04437208498293051
naturally,0.044306722053550435
nay,0.044293107444815384
transatlantic,0.044284026988351544
##dding,0.044229050581025046
##rus,0.04397602701899998
fascinated,0.043892561352693614
tsunami,0.043831421733296023
105,0.04379963050037089
bell,0.04356550940137299
monitor,0.0435448764621848
##um,0.04352038606328866
sealed,0.043439168657872305
decidedly,0.04342565618494739
1972,0.04332093445485739
partially,0.04330040822927048
focuses,0.043264767574834204
dod,0.043143930574537734
aware,0.04310968550723384
orr,0.04305457375498395
coastal,0.042938573484705776
##cko,0.042577381565597386
immense,0.04243765464070939
vet,0.042220740641782606
troubled,0.04211494203150401
punches,0.0419947078090592
procurement,0.041946955983828436
##ash,0.041821319068759036
attempting,0.04153135244542228
personality,0.04135337163808098
wine,0.04133889323193037
looked,0.04132867935323566
wink,0.04122814326852966
unarmed,0.04120155524384234
booming,0.040977001505339124
sgt,0.04093932774172722
attraction,0.0408988378489949
bluegrass,0.04083504123038149
1973,0.04079176342550504
hp,0.04069422493493488
libya,0.040578103627216665
nh,0.04045243381176952
recognise,0.0404183800638372
clever,0.040310682389608075
dissatisfied,0.04024842749608004
wee,0.03983792469088563
1858,0.03981910020246714
chorus,0.03970615003667276
reflects,0.03966471125117845
tracing,0.039593604130224995
ominous,0.03948386474991722
oh,0.03947647384123864
landlord,0.03936246235222857
creditors,0.03934651203740285
roared,0.03927017392401558
descending,0.03916510280217949
##gged,0.039072497303413944
maintains,0.039033017551723274
bread,0.03894819710827925
ambiguity,0.03879938870181442
investigator,0.03875172982091716
affirmed,0.038696323152151504
sour,0.03866296866789676
richardson,0.03851825050324713
nan,0.03840165675690036
triumphant,0.03836216528616513
monitored,0.038254795030665006
preparations,0.038230453859412185
intercontinental,0.03820109604973166
prayers,0.03819267043692658
dish,0.038180108639905494
warp,0.038164871570116
##ld,0.03804411934017088
tempered,0.037919136695403345
##ished,0.03774389011244357
baltimore,0.03765914060656353
tying,0.03764335296898986
abc,0.03748321680474605
fox,0.03740565501387934
brushed,0.037393388058355834
sinclair,0.037250523417489675
preface,0.03723901120208754
terminated,0.03723676410572718
bomber,0.037135598031491135
peers,0.03710373204099335
1968,0.03705184072960616
unmistakable,0.03681489949413159
southwestern,0.03672112401105161
utc,0.03672089619458186
shook,0.03670272896249583
sec,0.036658999523870764
insists,0.036657221080089585
##bn,0.03653364066428605
gears,0.03647125198251962
tha,0.03642894599712361
govt,0.03631105259436258
stubborn,0.03626925206316824
barre,0.03617096562273864
commitment,0.03613789571363112
broadcasting,0.03609830704884069
carter,0.03594789651116325
escorted,0.03592374578435616
thrill,0.03589233690205845
hovering,0.03577030337503427
reasoning,0.035769453792694555
grimm,0.03575331173272821
boo,0.035701184464726574
abandoning,0.0356727114092174
##clave,0.035645921207226414
moments,0.03556520894017566
solo,0.03546960846450266
departing,0.035389426214055324
appealing,0.03525529458484243
##ffe,0.035254061362046174
